Activity Number,ISIC Code,License Type,Activity Name,Description
AM-11010,,Freelancer,Costume Designer,(A person who creates clothes or accessories for a store or a fashion brand)
AM-11011,,Freelancer,"Critics: Music, Film, Theatre",(A person providing documented feedback on industry on goings)
AM-11012,,Freelancer,"Director: Film, Television, Music, Theatre",(A person who is responsible for the creative decisions of a production)
AM-11013,,Freelancer,Editor: Publishing,"(A person who develop ideas for upcoming issue themes, identifies and collaborates editorially with writers and contributes own writing and analysis to the project for publications)"
AM-11014,,Freelancer,Events Planner,"(A person who designs, organizes and coordinates conferences, meetings, exhibitions, shows and other events)"
AM-11015,,Freelancer,Fashion Designer,"(A person who works with clients on short- or long-term projects where they design and assist with the production of shoes, clothing, and accessories)"
AM-11016,,Freelancer,Fashion Stylist,"(A person who researching various brands of clothing, monitoring the latest trends in fashion, and styling outfits for a wide variety of clients."
AM-11017,,Freelancer,Graphic Designer,"(A person who creates and arranges images to communicate a message, including logo design, 3D design, product decoration, packaging, signs, identities, etc.)"
AM-11018,,Freelancer,Jewelry Designer,"(A Person who focus on the design of rings, earrings, bracelets, and other jewelry and fashion accessories.)"
AM-11019,,Freelancer,Journalist,"(A person writing articles and reports for broadcast or publication media such as newspapers, television, radio, magazines, documentary film and the Internet)"
AM-11020,,Freelancer,Lighting Specialist,"(A person skilled in setting the mood, and who shapes and moulds the visual image captured on the television, on film and on video using lighting effects)"
AM-11021,,Freelancer,Makeup Artist,A person cosmetology professional who works independently
AM-11022,,Freelancer,Market Analyst,"(A person who collects and analyses data to evaluate existing, and potential product, and service markets)"
AM-11023,,Freelancer,Marketing Specialist,"(A person who creates and manages marketing strategies to promote products and services, through coordination with Advertising and distribution agents)"
AM-11024,,Freelancer,Media Planner,"(A person who translates a client’s marketing objectives into a media plan, by identifying the most appropriate target audience(s) and the advertising media)"
AM-11025,,Freelancer,Music Director,"(A person who conducts, direct, plans and leads instrumental or vocal performances by musical groups)"
AM-11026,,Freelancer,Musician,(A person who plays a musical instrument for a profession)
AM-11027,,Freelancer,Photographer,(A person who uses still photography as a medium to communicate ideas and express opinions)
AM-11028,,Freelancer,Photojournalist,"(A person specialising in collecting photographic news content, editing, and presenting of news material for publication or broadcast)"
AM-11029,,Freelancer,PR Specialist,(Public relations specialists handling media relations; promotional campaigns and press releases; conflict mediation through media communications either by print or broadcast. Also arranges media related events between organization representatives and the public)
AM-11030,,Freelancer,Presenter (TV/Radio),(A person who presents content and news on radio or TV)
AM-11031,,Freelancer,Print Media Specialist,"(A person specialized in organizing, structuring and editing information for printed publications, like newspapers and magazine)"
AM-11032,,Freelancer,Producer,"(A person who oversees the business and financial decisions for a motion picture including obtaining resources, creating scripts, and overseeing production)"
AM-11033,,Freelancer,Scriptwriter,"(A person who creates the written material for television, radio, theatre and film productions)"
AM-11034,,Freelancer,Set and Exhibit Designer,"(A person who designs and creates sets for movies, television and theatre productions and special exhibition displays)"
AM-11035,,Freelancer,Social Media Specialist,(A person who specializes in social media platforms)
AM-11036,,Freelancer,Special Effects Producer,"(A multi-media artist who creates special effects or other visual images on film, video or other electronic media)"
AM-11037,,Freelancer,Translator,(A person certified by a competent authority to convert written materials from one language into another)
AM-11038,,Freelancer,Videographer,"(A person who responsible for planning, filming, and editing videos that could be used for a variety of projects such as movies, advertisements)"
AM-11039,,Freelancer,Web Developer,(A software developer who is engaged in the development of worldwide web applications)
AM-11040,,Freelancer,Web Designer,(A professional web designer who conceptualizes and creates websites on the worldwide web)
AM-11041,,Freelancer,Writer,"(A person who composes all types of creative literature including novels, children's literature, plays and poetry)"
AM-11042,,Freelancer,Social Media Influencer,(A person who is a user of social media platforms and who has access to a network of followers and who can influence those followers to utilise third party products or services)
AM-11043,,Freelancer,Researcher,"(To conduct research to serve educational institutions, students, faculties, Human Resource Management fields and other participants in the education industry)"
AM-11044,,Freelancer,Business Analyst,(A person who is a professional who helps organizations improve their operations)
AM-11045,,Freelancer,Economics Analyst,(A person who is Monitor and analyze local and international economic )
AM-11046,,Freelancer,Financial Analyst,"(A person recommend portfolios and individual investments, evaluate historical and current financial data, and study business and economic trends."
AM-11047,,Freelancer,Investment Analyst,"(A person collect information, perform research, and analyze assets, such as stocks, bonds, currencies, and commodities)"
AM-11101,70200030,Services,Marketing Research Consultancies,"Includes the provision of management consultancy to public institutions or companies such as consultancy dealing with analysis of operational and administrative processes, engineering and procedure consultancy, preparation of flows maps and associated documentary courses, the formulation of internal policies and the restructuring of the organization, the development of consultancies associated with the development of strategic plans, the development of business systems and the design of balanced business cards in addition to other related consultancies."
AM-11102,7110201,Services,Interior Design Engineering Consultancy,"Preparing designs, drawings and specifications for consultations in the field of interior design and preparing drawings and designs for interior spaces to beautify the interior courtyards, including the selection of materials, colors, fixtures, lighting and other elements used in implementation."
AM-11103,7020014,Commercial,Health Planning & Consultancies,"It includes facilities licensed by health authorities, and is specialized in providing consultations and feasibility studies for health facilities licensed or under license to renew the needs of medical devices and supplies and professional individuals with determining their qualifications, as well as providing suggestions about engineering designs for health facilities to comply with medical needs, in addition to designing quality assurance programs in health services in order to raise the level of services provided."
AM-11105,4649065,Commercial,Trading of Pharmaceuticals (Re Export out side),Trading of pharmaceutical products directly used for medication or treatment outside UAE only.
AM-11106,6201008,Services,Computer programming activities,"Includes designing the structure and content of, and/or writing the computer code necessary to create and implement: • systems software (including updates and patches) • software applications (including updates and patches) • databases • web pages"
AM-11110,4721016,Industrial,Food Supplements Manufacturing and Export,"Manufacturing of foods and supplements that are classified as a type of food and not as a medicine and whose purpose is to supplement the diet, such as foods intended for certain medical conditions, as well as foods made from natural food free of artificial substances, flavorings or colors that are usually added to canned and preserved foods, including vitamins, salts, refreshing drinks, fatty and amino acids, tonics prepared from honey, herbs, food substitutes for athletes or diet recipes."
AM-11114,4610002,Commercial,Trading Agencies,"Commercial establishments specialized in representing the principal by an agent to distribute, sell, display or provide a commodity or service within the country in return for a commission or profit resulting from the provision of this commodity must include the validity of the agency that the agent is directly linked to the original principal by a written and documented contract."
AM-11116,4649073,Commercial,Wholesale of coffee machines and accessories,Commercial establishments that practice wholesaling of coffee machines and their accessories
AM-11119,7410001,Services,Specialized design activities,"Graphic Design, Industrial Design, Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other interior decoration and other fashion goods as well as other personal or household goods"
AM-11121,4789005,Services,Retail sale via stalls and markets of other goods,"Sale of other goods via stalls or markets, such as: • carpets and rugs • books • games and toys • household appliances and consumer electronics • music and video recordings"
AM-11122,4659956,Commercial,Wholesale of other machinery and equipment,"Include the resale in specialized stores of heavy machinery and equipment, such as factory machinery and equipment, machinery, hoisting and loading mechanisms, excavators, loaders and others."
AM-11123,4774007,Commercial,Used Heavy Equipment & Machinery Trading,"Includes reselling used heavy plants machinery and equipment, marine engines, lifting and loading equipment...etc."
AM-11124,5913001,Services,"Motion picture, video and television programme distribution activities","Distributing film, video tapes, DVDs and similar productions to motion picture theatres, television networks and stations and exhibitors"
AM-11125,5819002,Services,Other publishing activities,"Publishing (including on-line) of: • catalogs • photos, engravings and postcards • greeting cards • forms • posters, reproduction of works of art • advertising material • other printed matter"
AM-11127,3830106,Commercial,Trading of Waste Electrical & Electronic Equipment - Import & Export,"Waste collection, treatment and disposal activities; materials recovery"
AM-11129,8211010,Services,Combined office administrative service activities,"Provision of a combination of day-to-day office administrative services, such as reception, financial planning, billing and record keeping, personnel and physical distribution (mail services) and logistics for others on a contract or fee basis."
AM-11133,1811008,Services,Printing,"Printing of newspapers, magazines and other periodicals, books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, diaries, calendars, business forms and other commercial printed matter, personal stationery and other printed matter by letterpress, offset, photogravure, flexographic and other printing presses, duplication machines, computer printers, embossers etc., including quick printing. The material printed is typically copyrighted"
AM-11134,8230009,Services,Organization of conventions and trade shows,"Organization, promotion and/or management of events, such as business and trade shows, conventions, conferences and meetings, whether or not including the management and provision of the staff to operate the facilities in which these events take place"
AM-11135,7020008,Services,Other human resources provision,Provision of human resources for client businesses This provision of human resources is typically done on a long-term or permanent basis and the units classified here may perform a wide range of human resource and personnel management duties associated with this provision.
AM-11136,8219003,Services,"Photocopying, document preparation and other specialized office support activities","Document preparation , document editing or proofreading, typing, word processing, or desktop publishing, secretarial support services, transcription of documents, and other secretarial services, letter or resume writing, provision of mailbox rental and other mailing activities (except direct mail advertising) — photocopying — duplicating — blueprinting — other document copying services without also providing printing services, such as offset printing, quick printing, digital printing, prepress services"
AM-11137,5210007,Services,Warehousing and storage,"Operation of storage and warehouse facilities for all kind of goods: • operation of grain silos, general merchandise warehouses"
AM-11143,4652018,Commercial,Wholesale of electronic and telecommunications equipment and parts,"wholesale of electronic valves and tubes, wholesale of semiconductor devices, wholesale of microchips and integrated circuits ,wholesale of printed circuits, wholesale of blank audio and video tapes and diskettes, magnetic and optical disks (CDs, DVDs) ,wholesale of telephone and communications equipment"
AM-11148,7310012,Services,Advertising,"Creation and Realization of Advertising Campaigns: • Creating and Placing Advertising in Newspapers, Periodicals, Radio, Television, The Internet and Other Media • Creating and Placing of Outdoor Advertising, E.G. Billboards, Panels, Bulletins and Frames, Window Dressing, Showroom Design, Car and Bus Carding Etc. • Media Representation, I.E. Sale of Time and Space for Various Media Soliciting Advertising • Aerial Advertising • Distribution or Delivery of Advertising Material or Samples • Provision of Advertising Space on Billboards Etc. • Creation of Stands and Other Display Structures and Sites"
AM-11150,7420001,Services,Photographic activities,"Various photography activities such as commercial and consumer photo production include: • Photographing people for passports, schools, weddings, etc. • Photography for commercial advertising, publishing, fashion, real estate or tourism purposes. • Aerial photography. • Videotape events: weddings, meetings, etc."
AM-11152,9000905,Services,"Creative, arts and entertainment activities","Production of live theatrical presentations, concerts and opera or dance productions and other stage productions: • activities of groups, circuses or companies, orchestras or bands • activities of individual artists such as authors, actors, directors, musicians, lecturers or speakers, stage-set designers and builders etc."
AM-11157,,Commercial,Air Freight & Passengers Charters,"Includes firms involved in chartering airplanes under charter contracts for air flights in non-scheduled passengers and freight transport flights, it involves transporting all kinds of animals, including camels as well as horses for races abroad."
AM-11161,,Commercial,Sale of wireless equipment and tools - retail,"Includes the resale of wireless communication equipment, including mobile and fixed units, massaging devices or inter- communicative mobile unites, also, ground stations receiving information or communication or any transmission oriented by satellites"
AM-11183,5813001,Services,"Publishing of newspapers, journals and periodicals","Publishing of newspapers, including advertising newspapers, publishing of periodicals and other journals, including publishing of radio and television schedules Publishing can be done in print or electronic form, including on the Internet."""
AM-11185,4330005,Services,Carpentry & wood Flooring Works,Includes flooring installation and woodwork inside the house except home furniture.
AM-11187,4330019,Services,Floor & Wall Tiling Works,"Includes firms specialized in flooring and wall tiling with ceramic, cement and natural stones."
AM-11188,4329904,Services,Electrical Fittings & Fixtures Repairing & Maintenance,"Includes repair and maintenance of electrical installations in buildings and civil constructions, including cables, wires, switches and feeding points, distribution panels."
AM-11189,4330018,Services,False Ceiling & Light Partitions Installation,"Warehouse,Land"
AM-11191,4669113,Commercial,Used Cooking Oils Trading,Includes selling waste cooking oils collected from restaurants in order to recycle and use in producing soap and biodiesel.
AM-11192,4510202,Commercial,New Automobile Trading for Export,"Includes firms dealing in exporting new cars only, these firms are not allowed to open shops and sell cars directly to the public"
AM-11193,4540101,Commercial,Motorcycles Trading,"Includes reselling the two or three wheeled motorized motorcycles for cruising in paved roads or for off road use, including selling spare parts and motorcyclists accessories such as helmets ."
AM-11194,3830106,Commercial,"Recycle, Separation, Transport, Trade and Import & Export of Electronic waste scrap.","Recycle, Separation, Transport, Trade and Import & Export of Electronic waste scrap."
AM-11195,7710002,Commercial,Transportation Vehicles Rental,Includes renting heavy or medium vehicles without drivers to use in moving raw materials and goods.
AM-11196,4923007,Commercial,Transportation via Specialized Cars,"It is the specialized facilities that own a fleet of specialized cars for the purposes of transporting materials that are not transported by cars and regular vehicles such as trucks dedicated to transporting vehicles and cars, as well as transporting livestock, sheep and cows, as well as facilities that transport exceptional materials with specialized vehicles according to demand, such as antiquities and horses, i.e. includes facilities that provide transport service for certain types of goods by providing cars specially prepared for this type of activity (equipped with special specifications in terms of external and internal doubt) such as cars Dungeon for transporting money and trucks transporting animals"
AM-11197,4923009,Services,Freight transport by road,All freight transport operations by road.
AM-11198,4661003,Commercial,Petroleum Products Trading - Import & Export,"This activity covers the buying, selling, importing, and exporting of various petroleum-based products"
AM-11232,4690010,Commercial,Non-Specialized Wholesale Trading,"Trading of all types of goods, products and goods (except for those that need to obtain special licenses for this) for example: jewelry & Gold - Education - Health and Beauty - Petrochemical and Chemical Products– Media – Tobacco - Food & Beverages - fertilizers and Pesticides - Bank & Insurance (Money Exchange and Money Transfer) - Advance Technology - Security Equipment and Protection Systems Trading , and all services , industrial and E-Commerce activities"
AM-11248,5912003,Services,"Motion picture, video and television programme post-production activities","Post-production activities such as: • editing, titling, subtitling, credits • closed captioning • computer-produced graphics, animation and special effects • film/tape transfers"
AM-11251,5210007,Services,Chemical Material Storehouse,"Includes storing chemicals in storage containers in a variety of sizes and shapes and made of materials resistant to the chemicals stored, as well as resist being impacted by external considerations, such as heat, cold, pressure."
AM-11252,4651003,Services,"Wholesale of computers, computer peripheral equipment and software","Wholesale of computers and computer peripheral equipment, wholesale of software"
AM-11253,5229013,Services,Logistics & Transportation,"Providing logistics services related to the management, planning and handling of goods from production sources to markets, including shipping, clearance, storage, parcel organization, air/sea/land distribution and other value-added services."
AM-11254,4774002,Commercial,Used Jewellery Trading,"Includes reselling second-hand adornment jewellery such as brooches, earnings, necklaces, bracelets, rings, which are made of gold, platinum, palladium, titanium, silver and gemstones."
AM-11255,4610002,Services,Wholesale on a fee or contract basis,"Activities of commission agents and all other wholesalers who trade on behalf and on the account of others, activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the internet"""
AM-11258,6202012,Services,Distributed Ledger Technology Services,"Includes firms that provide database management solutions and ancillary services based on distributed ledger technologies, such as blockchain, such firms are not permitted to trade in, or setup an exchange for currencies or crypto currencies or commodities or provide any financial services, whether brokerage or payment processing."
AM-11259,7110407,Services,Energy Projects Engineering Consultancy,"Includes conducting engineering consultancy for energy and water related projects such as gas and coal energy, it involves engineering, technical, analytical and economic feasibility studies to identify alternatives, compare between the environmental impacts of energy sources, including design and drawings and supervising execution progress."
AM-11260,7410002,Services,Jewellery Designing,"Includes designing the models of gold and precious metals jewellery prior to mechanical or manual production, involving pre-manufacturing drawings, setting technical specifications, materials and production costs calculation, testing to ensure compliance of materials with safety and quality standards."
AM-11261,,Services,Light Archiving,"Includes facilities that use the electronic document management system (Smart Doc) is a compact solution easy to use for the network server and the user, to manage documents and images scanned or imported from other files scanning documents on any scanner type (TWAIN, ISIS, KoFax) and stored in an organized tree structure on the archiving server."
AM-11263,7110113,Services,Medical Engineering Services,"Includes providing public and private healthcare facilities with consultancies on how to build the facilities as well as the specifications of the equipment and instruments and where to locate. To healthcare industries on how to plan manufacturing, the process flow, analyzing equipment efficiency and marketing planning. To universities and medical institutions on instrumentation and to set standards for students learning and curriculum designing. To public authorities involved in medical equipment and to contracting companies constructing healthcare facilities, the minimal qualifications required is bachelor degree in mechanical or medical equipment engineering, along with three years hands-on experience."
AM-11264,8299007,Services,Medical Treatment Facilitation Services,"Includes offices which offer specialized services to patients seeking medical treatments in UAE, or act as health tourism provider for patients intend to obtain these services abroad, it involves contacting hospitals and healthcare providers, coordinating with health insurance providers, handling visas and travel issues, provision of logistical information, such as accommodation, ground transportation, expected duration of stay and cost of treatments, it also involves handling non-medical barriers that hinder patients’ treatments, such as cost and health insurance problems, as well as other administrative issues."
AM-11265,6202013,Services,Metaverse Services Provider,"Includes firms engaged in the development and hosting of digital virtual environments, which enable simulated interactions between individuals, such firms are not permitted to issue tokens which are traded on exchanges or trade in crypto commodities"
AM-11266,7020016,Services,Music Consultant,"Includes firms which provide consultation on the organization of events such as recitals, concerts, dance, chamber music, etc., as well as consultation on instrumental education and performance, the manager must have a Bachelor degree in music, along with three years hands-on experience."
AM-11267,7310021,Services,Natural Gas Technology Marketing,Includes firms conduct operations and activities to explore the demand on natural gas technology in order to assist the firms involved in such technology to how to meet such demands.
AM-11268,7110713,Services,"Noise Control, Vibration & Acoustics Consultancy","Includes offering noise control, vibration & acoustics services for commercial and industrial sectors. The objective is to address noise impact of loud sources near noise sensitive areas such as hospitals, airports, mosques, theatres, cinema halls...etc. It involves measures design, technical specifications setting, execution and supervising"
AM-11269,7020011,Services,Pests Management Consultancy,public health and pest's control. It includes training in pest's management techniques.
AM-11271,7110923,Commercial,Power & Automatic Control Engineering Services,"Includes providing engineering support and services to power stations and water desalination plants and to the fully automated factories with regard to control engineering and dynamic systems, the minimal qualifications required is bachelor degree in electrical engineering, along with three years hands-on experience."
AM-11272,7020018,Services,Occupational Safety Consultancy,"Includes providing safety and vocational health services and consultancies, such as the information must be given to employers on the risk and dangers arising from their works or from new circumstances, including the measures to reduce or get rid of the risks, and what employees should do if they are exposed to the risk, examination of construction or industrial machinery, non- destructive examination and inspection, issuance of certificates of safety and vocational health measures applied therein, elaborating technical and economic feasibility studies on these machinery and equipment."
AM-11273,7210013,Services,Science & Technology Consultancy,"Includes offering counseling and drawing plans on science and technology as regarding water desalination techniques, nanotechnology, health, power technology, also, studying and analyzing the reports submitted by laboratories and other analysis entities in respond to requests by governmental and private bodies, the manager must have a Bachelor degree in science or engineering, along with three years hands-on experience."
AM-11274,6201009,Services,Social Media Applications Development & Management,"Includes firms specialized in helping businesses and others to utilize such social media like Facebook, twitter, you tube, LinkedIn, Instagram to increase visibility and expand the number of regular visitors, which will boost customer base and consequently result in the grow of their businesses and services steadily over time, it involves providing contents as well as managing such channels."
AM-11275,7020023,Services,Sourcing & Procurement Consultant,"Includes providing procurement consultancies and analysis to determine where to achieve savings and minimize the cost, determine the purchases specifications and tender procedures, advise on purchasing sources by rendering to the best standards, advising on compliance with contracts and purchasing policies and procedures, the manager must have bachelor degree in business administration, economics or related discipline, along with three years hands-on experience."
AM-11276,7490001,Services,Surveying & Evaluating Services,"Includes firms specialized in examining, and estimating movables such as goods, machines, equipment and furniture, for various purposes, for holding public auctions, upon disputant parties' request or as an assignment by the court, arbitration committee or any other body, also, checking motor vehicles to determine the technical defects or value and not renewing registration by licensing authorities."
AM-11277,7020026,Services,Technical Installations Consultancies,"Includes offering technical consultancy services related to electronic installations, audio-visual systems, TV and radio production and lighting techniques to studios, theatres, conference rooms and educational laboratories. It involves determining the proper equipment, their descriptions, assessing their purchasing bids and the supervision over the technical execution, the manager must have a Bachelor degree in science or engineering, along with three years hands-on experience."
AM-11278,7490012,Services,"Translation, Editing & Proofreading Services","Includes offices which provide simple translation for ordinary personal and commercial letters and correspondences, also, editing and proofreading Arabic and English writings to correct spelling and grammar errors and improve the texts to university students as well as public and private entities"
AM-11279,7020009,Services,Waste management & Recycling Consultancy,"Includes firms specializes in providing professional advice on how to manage and monitor waste materials, whether to reduce their effect on health and environment or to obtain the ISO accreditation, it involves advising on eliminating waste through resources recovery practices like recycling materials"
AM-11280,7020002,Services,Feasibility Studies Consultancies,"Includes firms which prepare technical and economic feasibility studies on the new projects to determine the profitability of these projects over a period of operation, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority,the manager must have a Bachelor degree in Economics, along with three years hands-on experience."
AM-11281,7110916,Services,Foundations & Soil Mechanics Engineering Services,"Includes providing services and consultancies related to soil mechanics to analyze the deformations of and flow of fluids within natural and man-made structures that are supported on or made of soil, also, the design foundations based on the load characteristics of the structure and the properties of the soils and bedrock at the site, the minimal qualifications required is bachelor degree in civil engineering, along with three years hands-on experience."
AM-11282,7020028,Services,Logistics Consultancy,"Includes providing consultancies and solutions to supply chain problems, as well as, providing methodology for improving performance, this involves analyzing the distribution network and delivering practical solutions, auditing the operation and identify the potentials for improvements, the manager must have a Bachelor degree in supply chain management and Logistics or business or economics, along with three years hands-on experience"
AM-11283,7110409,Services,Oil Exploration Engineering Services,"Includes providing hydrographic, land and geophysical survey services with regard to oil and natural gas exploration. These activities are restricted to exploration without extending to extraction and exploitation, the minimal qualifications required is bachelor degree in chemical or Petroleum engineering, along with three years hands-on experience."
AM-11284,9319004,Services,Sports Broker,"This covers facilities approved by official and international authorities as a broker for football players and clubs aiming to provide best offers and deals negotiate and sign transfer or secondment contracts with clubs. This also covers fostering interests of players and representing them before sports, local and international bodies."
AM-11285,5229011,Services,Transport Consultancies,"Includes firms specialized in providing consultancies and studies on transport as regarding the means for smooth traffic flow, the effect of big projects on traffic, traffic lights timing control, advising on alternative streets and way outs at events times (exhibitions, competitions), fix the crossings and exits for the services streets, the manager must have a Bachelor degree in Civil Engineering , along with three years hands-on experience."
AM-11286,1061002,Services,Flour Mills,"Includes blending wheat flour and prepare to produce various semi-final products, usable in processing final food products."
AM-11288,7110918,Services,Archeological Restoration & Conservation Engineering Services,"Includes providing services and consultancies related to conservation and preservation of archeological materials by using the method of examination, documentation, treatment, protection to keep that property in as close to its original condition as possible, the minimal qualifications required is bachelor degree in Architectural engineering, along with three years hands-on experience."
AM-11289,4771105,Commercial,Arab Wear Trading,"Includes reselling of Arab ready made wear, such as dishdashas, ghotra, bishts, oqal and caps, also, women traditional cloak (aba) head covers, veils."
AM-11290,4771103,Commercial,Baby Wear Trading,"Includes reselling of children’s swaddling clothes, nappies, night wear, party clothes, shirts, trousers and others."
AM-11291,4761005,Commercial,Advertising Requisites Trading,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items."
AM-11292,4773512,Commercial,"Air-Condition, Refrigeration Spare Parts & Components Trading","Includes reselling spare parts of air-conditioning systems, central, window or split units as well as coolers, cold storage compartments, central water cooling and other refrigeration equipment."
AM-11293,4773616,Commercial,Animal & Poultry Farms Equipment Trading,"Includes reselling machinery and equipment used in cattle and sheep farms, or in raising and breeding of poultry other birds and animals for bred for trading and processing their products, such firms are allowed to carry out the installation, repair and maintenance services for the equipment they deal in"
AM-11294,4752023,Commercial,Building Metal Products Trading,"Includes reselling aluminum, steel or copper doors, windows, balconies, staircases, fences, window grids and garden fences, cladding panels, decorators, manhole covers and any other metal product."
AM-11296,4669213,Commercial,Acids & Alkalines Trading,Includes reselling acids and alkalines for producing other industrial products and compounds.
AM-11298,7110108,Services,Electrical Network & Distribution Engineering Services,"Includes providing services and consultancies related to the transmission of power from generating facilities to distribution centers and distribution to end users, the minimal qualifications required is bachelor degree in electrical engineering, along with three years hands-on experience."
AM-11300,7490017,Services,security consultancies,"Includes providing security consultancies and studies, set out security and technical solutions to ensure buildings and facilities safety, also advisory on designing and laying out technical specifications"
AM-11301,4773618,Commercial,Carbon Control Systems Trading,"Includes reselling systems and units that help reduce carbon and other gases arising from global warming, It includes providing these systems to industrial facilities for developing and improving their practices, which will be reflected in reducing gas emissions and thus preserving the environment., such firms are allowed to carry out the installation, repair and maintenance services for the equipment they deal in"
AM-11372,,Freelancer,Advertising Editor,People who work in Advertising are in charge of creating marketing communication that persuades an audience to buy a product or service.
AM-11373,,Freelancer,Analyst-Strategy & Policy Planning,"Helping research and present data analysis. Analysing and interpreting data to communicate market trends and industry predictions. Turning these predictions into a strategy plan, identifying areas for growth and resolving issues"
AM-11374,,Freelancer,Announcer,Announcers present news and sports or may interview guests on media such as radio and television.
AM-11375,,Freelancer,Art Critic,"An art critic is a person who is specialized in analyzing, interpreting, and evaluating art."
AM-11376,,Freelancer,Audiology Technician,"Audiologists are experts in providing services in the prevention, diagnosis, and evidenced-based treatment of hearing and balance disorders for people of all ages"
AM-11377,,Freelancer,Career Counsellor,"Enable students to choose the academic courses that can fit their future career goals. Also to help students and graduate job seekers to enhance their employability skills by providing consultation sessions, workshops and mock-interviews"
AM-11378,,Freelancer,Career Development Specialist,"Supervising the strategic and operational plans of the performance appraisal system, training and career development plans of human resources and linking them to the performance appraisal system and track and succession in order to attract and retain qualifications."
AM-11379,,Freelancer,Career Ladder Advisor,"Supervise the development of jobs identification, classifications and description framework covering all business fields in the organization. This includes mapping the activities in coordination with divisions managers and department heads concerned."
AM-11380,,Freelancer,Chief Editor,"Editors plan, coordinate, and revise material for publication in books, newspapers, or periodicals or on websites"
AM-11381,,Freelancer,Computer Instructor,"Provide training on MS office programs, graphics programs, editing programs, programming languages, web design, network security, software engineering and systems analysis."
AM-11382,,Freelancer,Computer Sciences Trainer,"Provide training, support and courses to professionals to increase access and exposure to computer science."
AM-11383,,Freelancer,Computer Systems Analyst,"Systems analysts analyse how well software, hardware and the wider IT systems fit the business needs of their employer or of a client."
AM-11384,,Freelancer,Correspondent,Correspondents are responsible for maintaining community awareness and finding local news and information of interest to a regional audience.
AM-11385,,Freelancer,Data Analyst,A Data Analyst is a professional who collects and analyzes data across the business to make informed decisions or assist other team members and leadership in making sound decisions.
AM-11386,,Freelancer,Database Analyst,"A database analyst is responsible for designing, maintaining, and implementing databases for various organizations."
AM-11387,,Freelancer,Director of Theatre,the director is responsible for shaping every aspect of the final performance—from the actors' performances to the setting and design choices
AM-11388,,Freelancer,E-Advisor for Organizational Development,"Provide virtual consultation to the senior leadership in the organization to enhance the efficiency of systems and procedures, prepare objectives and strategic plans, developing the organizational structure and apply best practices in the of institutional excellence."
AM-11389,,Freelancer,E-Coach for Personal Development,"A qualified professional who works with individuals virtually to motivate and develop their knowledge, skills, gain self-awareness, achieve personal goals, improve their achievements and unleash potential."
AM-11390,,Freelancer,E-Counsellor for Career Counsellor,"Virtually enables the students to choose the academic courses that can fit their future career goals. Also to help students and graduate job seekers to enhance their employability skills by providing consultation sessions, workshops and mock-interviews"
AM-11391,,Freelancer,Educational Means Specialist,"Design and produce graphic and visual aids to provide learning approach according to the capacity, ability, speed and level of the learner."
AM-11392,,Freelancer,E-Specialist for Career Development,"Enable students via virtual workshops to choose the academic courses that can fit their future career goals. Also to help students and graduate job seekers to enhance their employability skills by providing consultation sessions, workshops and mock-interviews"
AM-11393,,Freelancer,E-Supervisor for Programs Development,"Provide review and assessment of the current curriculum and evaluate its objectives via virtual workshops and meetings. Plan, develop new curriculum, conduct research and consult with faculty the best practices and its  effect in improving student outcomes."
AM-11394,,Freelancer,E-Trainer for ICT,"Provide virtual training in the use of software packages and information systems that are used in an organization. This includes how to operate, configure, and maintain new technology."
AM-11395,,Freelancer,Events Manager,"The roles and responsibilities of an event manager are to manage the events, manage the event budget, create event plan, manage event team, send event communications using event management software"
AM-11396,,Freelancer,Film Developer,"In the processing of photographic films, plates or papers, the photographic developer is one or more chemicals that convert the latent image to a visible image"
AM-11397,,Freelancer,ICT Trainer,"Provide training in the use of software packages and information systems that are used in an organization. This includes how to operate, configure, and maintain new technology."
AM-11398,,Freelancer,Information Programmes Organizer,"Professional organizers are individuals who use their talent and skills to declutter and rearrange spaces, rooms, homes or offices for clients, creating organization out of chaos and clutter."
AM-11399,,Freelancer,Information System Analyst,A systems analyst is a person who uses analysis and design techniques to solve business problems using information technology
AM-11400,,Freelancer,Instrumentalist,"someone who plays a musical instrument (as a profession) synonyms: musician, player."
AM-11401,,Freelancer,IT Expert,"include creating new computer systems, networks, and applications or finding software errors through troubleshooting"
AM-11402,,Freelancer,Languages Trainer,"Planning, preparing and delivering lessons to improve the four basic language skills of listening, speaking, reading and writing. Also encourages participants to communicate with each other and with the public."
AM-11403,,Freelancer,Literary Writer,"It includes response, a personal, subjective view through which the writer expresses their themes"
AM-11404,,Freelancer,Literature Critic,"It includes evaluates, studies and discusses literature"
AM-11405,,Freelancer,Management Sciences Trainer,"Preparation and the delivery of training programs in in the field of administrative sciences such as organization, planning, coordination and supervision."
AM-11406,,Freelancer,Marketing Studies Researcher,"Collect and analyze information, developing marketing plans, propose solutions and field research."
